python;c;raspberry;js;linux;resultat
100;58;47;75;85;1
10;20;25;36;35;0
52;42;14;13;15;0
10;12;13;24;25;0
20;30;20;10;10;0
10;10;10;10;10;0
20;20;20;20;20;0
30;30;30;30;30;0
40;40;40;40;40;0
50;50;50;50;50;1
60;60;60;60;50;1
85;65;75;50;60;1
40;15;20;30;40;0
4;5;5;5;5;0
5;5;5;5;5;0
80;80;80;80;80;1
70;70;70;70;70;1
60;60;60;60;60;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
10;20;30;40;40;0
50;40;30;10;20;0
0;10;20;30;40;0
30;50;10;30;20;0
10;20;30;40;60;0
30;20;10;20;10;0
10;20;30;40;10;0
10;10;20;30;10;0
50;60;40;60;40;1
80;60;40;60;50;1
80;70;90;40;50;1
80;70;60;40;50;1
60;50;40;50;50;1
10;20;10;30;10;0
5;5;5;5;5;0
80;80;80;80;80;1
70;70;70;70;70;1
60;60;60;60;60;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
10;20;30;40;40;0
50;40;30;10;20;0
0;10;20;30;40;0
75;50;50;20;40;1
80;40;60;30;50;1
30;20;15;10;50;0
85;65;75;50;60;1
40;15;20;30;40;0
4;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
80;80;80;80;80;1
70;70;70;70;70;1
60;60;60;60;60;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
70;80;90;40;50;1
50;50;50;50;50;1
50;50;50;60;50;1
60;60;60;60;60;1
60;60;50;50;50;1
50;50;60;50;50;1
70;70;70;70;80;1
40;80;40;60;50;1
80;90;80;90;80;1
40;50;60;40;50;1
60;60;60;60;50;1
30;40;30;40;50;0
30;20;30;30;20;0
10;20;10;20;30;0
10;20;30;10;20;0
10;40;30;10;20;0
20;30;10;20;30;0
10;20;10;20;20;0
30;40;50;60;80;1
30;40;60;40;50;1
50;50;50;60;50;1
60;60;60;60;60;1
60;60;50;50;50;1
50;50;60;50;50;1
70;70;70;70;80;1
40;80;40;60;50;1
80;90;80;90;80;1
40;50;60;40;50;1
60;60;60;60;50;1
30;40;30;40;50;0
30;20;30;30;20;0
40;50;60;80;40;0
10;10;30;20;10;0
10;20;30;30;10;0
20;10;10;30;20;0
10;20;30;10;50;0
30;20;10;20;10;0
10;20;30;40;50;0
80;40;50;60;50;1
70;50;40;80;90;1
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
60;60;60;40;80;1
60;70;90;70;80;1
70;80;50;60;40;1
30;20;40;10;20;0
30;20;30;20;30;0
20;40;30;20;10;0
40;50;60;70;80;1
80;60;50;60;50;1
10;20;30;10;50;0
30;20;10;20;10;0
10;20;30;40;50;0
80;40;50;60;50;1
70;50;40;80;90;1
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
70;80;90;90;50;1
40;50;40;50;60;1
50;60;50;40;50;1
70;70;60;50;40;0
85;75;95;65;55;1
40;60;45;55;45;1
65;65;56;56;65;1
100;58;47;75;85;1
70;80;60;50;40;1
80;80;40;50;30;1
80;80;70;90;40;1
70;60;60;50;40;1
70;80;90;60;50;1
60;50;40;60;50;1
70;80;90;50;60;1
70;60;40;60;50;1
70;80;90;70;50;1
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
70;80;45;65;30;1
70;40;60;50;40;1
80;60;70;80;50;1
70;60;40;80;40;1
80;70;60;40;50;1
70;80;80;60;90;1
50;50;60;50;50;1
60;60;80;70;60;1
70;80;40;60;30;1
80;80;90;60;50;1
90;50;40;60;50;1
70;80;40;50;60;1
10;20;30;20;30;0
10;20;30;10;20;0
20;30;20;10;20;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
90;50;40;60;50;1
70;80;40;50;60;1
10;20;30;20;30;0
10;20;30;10;20;0
20;30;20;10;20;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
50;80;70;50;60;1
40;60;50;40;70;1
70;70;60;50;70;1
60;50;60;50;50;1
40;50;60;80;77;1
99;88;77;66;55;1
88;44;55;66;77;1
80;50;40;60;50;1
70;80;40;50;60;1
90;80;70;60;50;1
80;50;60;50;60;1
80;70;60;40;50;1
60;70;80;90;50;1
30;20;20;30;40;0
30;20;30;20;10;0
10;30;10;20;50;0
10;20;10;20;30;0
50;40;60;50;50;1
50;50;60;50;60;1
80;70;60;50;60;1
80;80;90;60;40;1
40;50;60;50;80;1
70;50;80;60;40;1
40;50;50;60;50;1
60;50;50;40;80;1
90;80;70;60;50;1
50;50;60;60;50;1
80;70;50;60;50;1
60;40;60;70;80;1
60;50;40;60;80;1
50;50;50;60;70;1
60;70;80;90;50;1
30;20;20;30;40;0
30;20;30;20;10;0
10;30;10;20;50;0
10;20;10;20;30;0
50;40;60;50;50;1
50;50;60;50;60;1
80;70;60;50;60;1
70;50;80;60;40;1
40;50;50;60;50;1
60;50;50;40;80;1
90;80;70;60;50;1
50;50;60;60;50;1
80;70;50;60;50;1
60;40;60;70;80;1
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
50;80;70;50;60;1
40;60;50;40;70;1
70;70;60;50;70;1
60;50;60;50;50;1
40;50;60;80;77;1
99;88;77;66;55;1
88;44;55;66;77;1
80;50;40;60;50;1
70;80;40;50;60;1
90;80;70;60;50;1
80;50;60;50;60;1
50;40;40;40;40;0
30;40;20;50;20;0
30;20;10;20;30;0
10;20;10;20;30;0
20;30;20;30;40;0
60;80;50;60;50;1
66;55;4;77;88;1
88;77;44;55;66;1
10;20;30;44;33;0
55;11;44;22;33;0
44;55;66;77;88;1
50;77;44;66;55;1
20;10;40;10;20;0
50;60;40;60;70;1
60;40;60;40;40;1
80;90;50;40;60;1
80;40;60;30;50;1
30;20;15;10;50;0
85;65;75;50;60;1
40;15;20;30;40;0
4;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
50;40;60;90;80;1
90;80;40;60;50;1
60;50;40;60;70;1
80;90;40;50;60;1
60;50;40;90;50;1
10;20;30;40;10;0
60;50;40;80;90;1
70;60;50;40;60;1
50;60;40;60;70;1
60;40;60;40;40;1
80;90;50;40;60;1
75;50;50;20;40;1
80;40;60;30;50;1
30;20;15;10;50;0
85;65;75;50;60;1
40;15;20;30;40;0
4;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
50;70;80;90;60;1
80;50;40;60;50;1
50;40;60;50;70;1
50;90;80;70;80;1
50;60;40;50;50;1
70;50;60;40;50;1
90;80;70;60;50;1
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
50;70;80;90;60;1
80;70;90;60;50;1
70;60;50;60;50;1
50;50;50;50;50;1
60;60;60;60;60;1
70;70;80;90;50;1
60;40;50;60;50;1
50;60;50;60;50;1
10;20;10;20;40;0
10;20;30;10;20;0
50;60;60;60;50;1
50;60;50;60;70;1
50;60;50;60;80;1
40;50;60;50;80;1
40;50;60;80;70;1
50;60;40;50;50;1
70;80;50;70;80;1
80;70;90;60;50;1
10;20;30;50;40;0
10;20;30;20;10;0
40;60;50;70;80;1
60;80;70;60;40;1
50;60;80;70;80;1
80;40;50;60;50;1
80;70;60;50;40;1
80;70;50;60;50;1
80;40;50;60;70;1
60;70;80;50;60;1
50;50;60;60;40;1
70;80;60;50;40;1
60;80;40;60;50;1
40;50;60;70;80;1
50;70;60;40;50;1
50;50;50;50;50;1
60;60;60;60;60;1
50;60;50;60;50;1
60;80;70;40;50;1
70;50;50;40;60;1
90;70;60;40;50;1
50;50;60;50;40;1
60;40;40;60;50;1
10;20;30;40;50;0
20;30;50;40;20;0
20;20;20;20;20;0
10;10;10;10;10;0
20;20;10;30;30;0
50;40;10;20;30;0
30;20;20;20;30;0
90;50;40;60;50;1
60;50;40;60;60;1
60;60;50;70;60;1
50;50;50;50;50;1
50;50;50;50;50;1
50;50;50;50;50;1
50;50;50;50;50;1
60;60;60;60;60;1
60;50;50;50;50;1
60;60;50;50;40;1
80;40;60;60;50;1
80;90;80;70;60;1
55;65;95;85;75;1
12;10;30;10;40;0
40;40;40;40;50;0
40;60;30;20;30;0
50;40;30;10;20;0
50;50;50;30;30;0
10;20;10;20;30;0
50;80;90;70;60;1
90;80;70;60;50;1
85;75;65;45;55;1
55;55;55;55;55;1
66;66;66;66;66;1
88;66;55;66;44;1
77;77;77;77;77;1
50;50;50;50;50;1
60;60;60;60;60;1
60;90;70;80;50;1
50;50;60;40;60;1
90;70;80;50;60;1
90;90;90;90;90;1
80;80;80;80;80;1
70;70;70;70;70;1
60;60;60;60;60;1
50;50;50;50;50;1
40;40;40;40;40;0
30;30;30;30;30;0
20;20;20;20;20;0
10;10;10;10;10;0
10;10;10;20;10;0
20;10;20;10;20;0
20;20;30;30;20;0
10;20;20;10;30;0
50;60;60;50;50;1
50;50;50;50;50;1
40;60;70;80;90;1
90;80;70;50;40;1
50;50;70;90;50;1
80;70;40;60;50;1
80;80;80;30;40;1
90;90;20;30;20;1
80;80;80;30;40;1
80;80;40;60;50;1
80;80;90;40;70;1
60;60;70;80;90;1
40;40;40;40;40;0
20;30;20;30;20;0
10;20;11;22;33;0
55;44;33;22;11;0
66;55;44;77;88;1
66;55;99;88;77;1
44;55;66;77;88;1
88;77;88;99;99;1
85;65;55;75;45;1
60;50;50;60;50;1
60;50;40;50;60;1
40;50;40;50;40;0
60;40;40;60;50;1
10;20;30;40;50;0
20;30;50;40;20;0
20;20;20;20;20;0
10;10;10;10;10;0
20;20;10;30;30;0
50;40;10;20;30;0
30;20;20;20;30;0
90;50;40;60;50;1
60;50;40;60;60;1
60;60;50;70;60;1
50;50;50;50;50;1
50;50;50;50;50;1
50;50;50;50;50;1
50;50;50;50;50;1
60;60;60;60;60;1
60;50;50;50;50;1
60;60;50;50;40;1
80;40;60;60;50;1
80;90;80;70;60;1
55;65;95;85;75;1
12;10;30;10;40;0
40;40;40;40;50;0
40;60;30;20;30;0
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
60;60;60;40;80;1
60;70;90;70;80;1
70;80;50;60;40;1
30;20;40;10;20;0
30;20;30;20;30;0
20;40;30;20;10;0
40;50;60;70;80;1
80;60;50;60;50;1
10;20;30;10;50;0
30;20;10;20;10;0
10;20;30;40;50;0
80;40;50;60;50;1
70;50;40;80;90;1
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
70;80;90;90;50;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
10;20;30;40;40;0
50;40;30;10;20;0
0;10;20;30;40;0
30;50;10;30;20;0
10;20;30;40;60;0
30;20;10;20;10;0
10;20;30;40;10;0
10;10;20;30;10;0
50;60;40;60;40;1
80;60;40;60;50;1
80;70;90;40;50;1
80;70;60;40;50;1
60;50;40;50;50;1
10;20;10;30;10;0
5;5;5;5;5;0
80;80;80;80;80;1
70;70;70;70;70;1
60;60;60;60;60;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
10;20;30;40;40;0
50;40;30;10;20;0
0;10;20;30;40;0
75;50;50;20;40;1
80;40;60;30;50;1
30;20;15;10;50;0
85;65;75;50;60;1
40;15;20;30;40;0
4;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
10;20;30;30;10;0
20;10;30;20;10;0
10;20;30;10;20;0
10;30;20;10;10;0
80;70;60;80;40;1
90;80;40;60;50;1
50;60;70;80;60;1
70;80;90;70;80;1
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
70;80;45;65;30;1
60;60;50;50;40;1
75;40;60;50;30;1
80;70;90;60;50;1
70;60;40;50;60;1
70;80;90;60;40;1
80;70;60;40;50;1
50;60;50;60;50;1
50;50;50;50;50;1
50;50;50;60;40;1
50;80;70;80;60;1
60;60;50;50;50;1
50;60;40;50;60;1
50;60;60;50;50;1
50;50;50;50;60;1
40;20;40;20;20;0
40;20;40;20;40;0
20;20;40;40;20;0
20;30;20;10;40;0
20;50;40;30;20;0
20;30;10;40;50;0
10;10;60;50;20;0
50;50;50;60;40;1
50;40;50;60;50;1
50;40;30;50;20;0
40;10;30;50;20;0
60;70;50;80;40;1
70;80;40;60;50;1
50;30;40;20;50;0
30;20;10;30;20;0
30;20;30;20;10;0
50;60;50;60;50;1
60;50;50;40;60;1
50;50;40;60;50;1
20;20;10;50;20;0
10;10;40;50;50;0
60;60;40;10;10;0
50;50;50;60;70;1
40;50;50;80;70;1
50;50;50;50;50;1
50;50;20;40;20;0
50;50;30;10;20;0
30;50;60;40;20;0
20;20;40;20;20;0
80;50;60;50;50;1
80;60;60;40;50;1
70;80;60;60;50;1
70;80;90;50;60;1
90;50;40;60;50;1
60;50;40;60;60;1
60;60;50;70;60;1
50;50;50;50;50;1
50;50;50;50;50;1
50;50;50;50;50;1
50;50;50;50;50;1
60;60;60;60;60;1
60;50;50;50;50;1
60;60;50;50;40;1
80;40;60;60;50;1
80;90;80;70;60;1
55;65;95;85;75;1
12;10;30;10;40;0
40;40;40;40;50;0
40;60;30;20;30;0
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
60;60;60;40;80;1
60;70;90;70;80;1
70;80;50;60;40;1
30;20;40;10;20;0
30;20;30;20;30;0
20;40;30;20;10;0
40;50;60;70;80;1
80;60;50;60;50;1
10;20;30;10;50;0
30;20;10;20;10;0
10;20;30;40;50;0
80;40;50;60;50;1
70;50;40;80;90;1
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
70;80;90;90;50;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
10;20;30;40;40;0
50;40;30;10;20;0
0;10;20;30;40;0
30;50;10;30;20;0
10;20;30;40;60;0
30;20;10;20;10;0
10;20;30;40;10;0
10;10;20;30;10;0
50;60;40;60;40;1
80;60;40;60;50;1
80;70;90;40;50;1
80;70;60;40;50;1
60;50;40;50;50;1
10;20;10;30;10;0
5;5;5;5;5;0
80;80;80;80;80;1
70;70;70;70;70;1
60;60;60;60;60;1
50;50;50;50;50;1
60;60;50;60;50;1
70;60;60;40;50;1
10;20;30;40;40;0
50;40;30;10;20;0
0;10;20;30;40;0
75;50;50;20;40;1
80;40;60;30;50;1
30;20;15;10;50;0
85;65;75;50;60;1
40;15;20;30;40;0
4;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
10;20;30;30;10;0
20;10;30;20;10;0
10;20;30;10;20;0
10;30;20;10;10;0
80;70;60;80;40;1
90;80;40;60;50;1
50;60;70;80;60;1
70;80;90;70;80;1
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
70;80;45;65;30;1
60;60;50;50;40;1
75;40;60;50;30;1
80;70;90;60;50;1
70;60;40;50;60;1
70;80;90;60;40;1
80;70;60;40;50;1
50;60;50;60;50;1
50;50;50;50;50;1
50;50;50;60;40;1
50;80;70;80;60;1
60;60;50;50;50;1
20;20;20;20;20;0
10;10;10;10;10;0
30;30;30;30;30;0
40;40;40;40;40;0
50;50;50;50;50;1
60;60;60;60;60;1
70;70;70;70;70;1
80;80;80;80;80;1
90;90;90;90;90;1
90;80;70;60;50;1
10;20;30;40;50;0
50;40;30;20;10;0
20;10;30;40;50;0
40;10;20;30;40;0
50;50;40;20;10;0
20;20;20;20;20;0
30;20;30;20;20;0
30;20;10;30;20;0
20;20;20;20;10;0
60;50;50;40;50;1
60;60;50;40;40;1
60;50;40;50;60;1
40;40;60;60;50;1
50;50;50;60;60;1
10;20;20;30;50;0
30;20;10;30;50;0
60;60;60;40;80;1
60;70;90;70;80;1
70;80;50;60;40;1
30;20;40;10;20;0
30;20;30;20;30;0
20;40;30;20;10;0
40;50;60;70;80;1
80;60;50;60;50;1
10;20;30;10;50;0
30;20;10;20;10;0
10;20;30;40;50;0
80;40;50;60;50;1
70;50;40;80;90;1
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
70;80;90;90;50;1
40;50;40;50;60;1
50;60;50;40;50;1
70;70;60;50;40;0
85;75;95;65;55;1
40;60;45;55;45;1
65;65;56;56;65;1
100;58;47;75;85;1
70;80;60;50;40;1
80;80;40;50;30;1
80;80;70;90;40;1
70;60;60;50;40;1
70;80;90;60;50;1
60;50;40;60;50;1
70;80;90;50;60;1
70;60;40;60;50;1
70;80;90;70;50;1
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
70;80;45;65;30;1
70;40;60;50;40;1
80;60;70;80;50;1
70;60;40;80;40;1
80;70;60;40;50;1
70;80;80;60;90;1
50;50;60;50;50;1
60;60;80;70;60;1
70;80;40;60;30;1
80;80;90;60;50;1
90;50;40;60;50;1
70;80;40;50;60;1
10;20;30;20;30;0
10;20;30;10;20;0
20;30;20;10;20;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
90;50;40;60;50;1
70;80;40;50;60;1
10;20;30;20;30;0
10;20;30;10;20;0
20;30;20;10;20;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
50;80;70;50;60;1
40;60;50;40;70;1
70;70;60;50;70;1
60;50;60;50;50;1
40;50;60;80;77;1
99;88;77;66;55;1
88;44;55;66;77;1
80;50;40;60;50;1
70;80;40;50;60;1
90;80;70;60;50;1
80;50;60;50;60;1
80;70;60;40;50;1
60;70;80;90;50;1
30;20;20;30;40;0
30;20;30;20;10;0
10;30;10;20;50;0
10;20;10;20;30;0
50;40;60;50;50;1
50;50;60;50;60;1
80;70;60;50;60;1
80;80;90;60;40;1
40;50;60;50;80;1
70;50;80;60;40;1
40;50;50;60;50;1
60;50;50;40;80;1
90;80;70;60;50;1
50;50;60;60;50;1
80;70;50;60;50;1
60;40;60;70;80;1
60;50;40;60;80;1
50;50;50;60;70;1
60;70;80;90;50;1
30;20;20;30;40;0
30;20;30;20;10;0
10;30;10;20;50;0
10;20;10;20;30;0
50;40;60;50;50;1
50;50;60;50;60;1
80;70;60;50;60;1
70;50;80;60;40;1
40;50;50;60;50;1
60;50;50;40;80;1
90;80;70;60;50;1
50;50;60;60;50;1
80;70;50;60;50;1
60;40;60;70;80;1
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
60;60;60;40;80;1
60;70;90;70;80;1
70;80;50;60;40;1
30;20;40;10;20;0
30;20;30;20;30;0
20;40;30;20;10;0
40;50;60;70;80;1
80;60;50;60;50;1
10;20;30;10;50;0
30;20;10;20;10;0
10;20;30;40;50;0
80;40;50;60;50;1
70;50;40;80;90;1
80;70;60;40;50;1
50;50;60;50;50;1
50;40;60;40;40;1
70;80;90;90;50;1
40;50;40;50;60;1
50;60;50;40;50;1
70;70;60;50;40;0
85;75;95;65;55;1
40;60;45;55;45;1
65;65;56;56;65;1
100;58;47;75;85;1
70;80;60;50;40;1
80;80;40;50;30;1
80;80;70;90;40;1
70;60;60;50;40;1
70;80;90;60;50;1
60;50;40;60;50;1
70;80;90;50;60;1
70;60;40;60;50;1
70;80;90;70;50;1
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
5;5;5;5;5;0
50;45;65;82;75;1
75;65;40;50;60;1
80;90;70;60;50;1
70;80;45;65;30;1
70;40;60;50;40;1
80;60;70;80;50;1
70;60;40;80;40;1
80;70;60;40;50;1
70;80;80;60;90;1
50;50;60;50;50;1
60;60;80;70;60;1
70;80;40;60;30;1
80;80;90;60;50;1
90;50;40;60;50;1
70;80;40;50;60;1
10;20;30;20;30;0
10;20;30;10;20;0
20;30;20;10;20;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
90;50;40;60;50;1
70;80;40;50;60;1
10;20;30;20;30;0
10;20;30;10;20;0
20;30;20;10;20;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;20;30;10;20;0
30;20;10;20;10;0
10;20;30;20;10;0
10;10;30;10;20;0
10;20;20;10;20;0
70;80;40;50;60;1
70;80;60;50;40;1
60;40;50;50;50;1
50;80;70;50;60;1
40;60;50;40;70;1
70;70;60;50;70;1
60;50;60;50;50;1
